tile_id,vines,confidence,polygon_px,angle_deg,spacing_m,kind,note
siret3_r009_c005,yes,high,0 0;1200 0;1000 330;560 540;300 720;0 900,112,2.8,grassy_rows,[siret3_r009_c005#0] young vines + stakes on grassy rows N of road; continues rows of r008_c004/r008_c005/r009_c004
siret3_r013_c003,yes,high,330 470;900 540;1450 790;2048 1070;2048 1790;1180 1290;600 1050;330 640,152,2.25,young_bare_soil,[siret3_r013_c003#0] pruned vines with fresh shoots on bare soil + trellis posts (some fallen); ~7 rows; FFT 150-153 deg 2.2-2.3 m
siret3_r013_c004,yes,high,0 1140;560 1505;1110 1740;1330 1880;1380 2048;380 2048;0 1830,152,2.35,young_bare_soil,[siret3_r013_c004#0] SW block: young vines + white stakes on tilled soil; continues into r013_c003/r014_c004 (no model rows there)
siret3_r013_c004,yes,medium,0 0;950 0;950 380;700 390;330 290;0 190,152,2.35,grassy_rows,"[siret3_r013_c004#1] NW band: vines + stakes in grassy rows, continuation of r012_c004 block (model rows there look perpendicular)"
siret3_r013_c009,yes,high,70 420;1680 0;2048 0;2048 560;140 980,14,2.1,mature,[siret3_r013_c009#0] [polygon cut to the leafy NW parcel strip: bare stump band and tree excluded] whole-tile vineyard: trellis stakes + leafy vines (NW) and sparse vines/stumps on bare soil (centre); continues north into r012_c009; big tree at x1450-1950 y1000-1400 inside
siret3_r014_c004,yes,high,0 0;1390 0;1420 430;1200 680;1200 1000;1460 1150;1080 2048;0 845,151,2.24,young_bare_soil,"[siret3_r014_c004#0] large young vineyard with stakes on tilled soil, tractor in block; all neighbours empty too - whole block missed; excludes road/trees on E and nodata SW"
siret3_r015_c011,yes,medium,1640 560;1990 280;2048 280;2048 850;1850 850;1700 700,38,2.0,garden,[siret3_r015_c011#0] garden vineyard: >=4 rows of young vines with stakes + white tubes (right of shed); FFT 40 deg 1.9 m
siret3_r021_c015,yes,high,0 420;350 870;345 905;120 960;0 1000,127,2.6,young_bare_soil,[siret3_r021_c015#0] W edge: 3-4 rows of young vines with stakes (ends of block in r021_c014); S part is a young orchard (not vines)
siret3_r023_c015,yes,medium,0 0;200 0;860 860;200 1040;0 1080,127,,young_bare_soil,[siret3_r023_c015#x] [todo complete_partial_block] upper-left block: vine rows on tilled soil at the AGCC strip axis (127/2.5); few rows mapped
siret3_r029_c019,yes,high,0 1866;530 1430;760 1640;280 2048;0 2048,40,2.7,mature,[siret3_r029_c019#0] SW corner: 3-row strip of pruned vines with stakes on bare sandy soil; continues into r030_c019/r029_c018; big field to NE has only scattered weed clumps (not vines)
siret3_r029_c020,yes,medium,1640 980;2048 960;2048 1600;1650 1060,125,3.0,young_bare_soil,[siret3_r029_c020#0] 3 rows of young vines on tilled strips in SE part; continue V24-R001..R003 of r029_c021 (125 deg); top-centre green lines are vegetable rows (not vines); rest ploughed field
siret3_r030_c016,yes,high,800 1040;1170 460;1620 95;2048 282;2048 1229;1434 1664;1280 1638;1050 1280,52,2.5,young_bare_soil,"[siret3_r030_c016#0] ~12 rows of young vines on sandy tilled soil, very clear; no model rows here or in neighbours"
siret3_r030_c017,yes,high,789 923;1178 1210;490 2048;0 2048;0 1840,47.5,2.25,young_bare_soil,[siret3_r030_c017#0] sandy strip of vines with stakes (continues SW into r031_c016/r031_c017)
siret3_r030_c018,yes,high,256 1434;1843 0;2048 0;2048 333;538 1741,43,2.9,young_bare_soil,[siret3_r030_c018#0] narrow NE-running block: 3-4 rows of young vines with stakes on tilled strip between scrub; FFT lines align with rows
siret3_r030_c019,yes,high,1230 2048;1640 1590;2048 1130;2048 2048,50,2.5,young_bare_soil,[siret3_r030_c019#0] young vines + trellis posts in SE corner; first row = NW edge of block; no neighbour rows drawn so block likely missed in neighbours too
siret3_r030_c020,yes,medium,0 1150;130 1150;260 1330;230 1480;120 1650;40 1900;0 1950,47,2.5,young_bare_soil,[siret3_r030_c020#0] SW edge: young vines + stakes on sandy soil (block continues into r030_c019/r031_c019); weedy area to the E has stakes but rows unclear - excluded
siret3_r031_c017,yes,high,784 1370;1182 839;1846 80;2048 60;2048 461;1075 1536;973 1690;768 1560,50,2.5,young_bare_soil,"[siret3_r031_c017#0] diagonal sandy strip ~16 m wide with young vines + stakes, rows parallel to the strip; next to r030_c016 block"
siret3_r031_c019,yes,high,1180 0;1900 0;800 1300;400 1030,50,2.5,young_bare_soil,[siret3_r031_c019#0] bare sandy rows with stakes + young vines in NW half (continues into r030_c019/r030_c020)
siret3_r032_c020,yes,high,0 1330;300 1240;520 1330;650 1520;780 1650;950 1850;950 2048;0 2048,51,2.67,young_bare_soil,[siret3_r032_c020#0] young vines with stakes on tilled soil in SW corner; continues V33 rows of r033_c020/r033_c019 (45-50 deg) that end on this tile's S edge
siret3_r032_c022,yes,high,0 1000;330 790;1230 1630;1440 1800;1430 2048;0 2048,52,3.0,young_bare_soil,[siret3_r032_c022#0] young vines + trellis posts; A-anchored end posts along NE headland (perpendicular to rows); FFT 52 deg 3.1 m
siret3_r033_c021,yes,high,1075 0;2048 0;2048 1331;1792 1203;1536 998;1280 768;1075 589;1024 307,52,2.9,young_bare_soil,"[siret3_r033_c021#0] NE: young vines with stakes on sandy soil, many rows; no model rows here"
siret3_r034_c019,yes,high,1063 1010;1304 1000;1587 1304;1797 1524;2048 1765;2048 2048;1922 1996;1461 1419,135,2.3,young_bare_soil,[siret3_r034_c019#0] 2-3 vine rows with shoots + posts on bare strip along nodata edge; FFT 132-135 deg; same block as r035_c020 top-left
siret3_r034_c021,yes,high,1527 2048;1790 1720;2048 1400;2048 2048,51.5,3.0,mature,[siret3_r034_c021#0] SE corner: 4-5 rows of vines with stakes on bare soil; block continues into r034_c022/r035_c021/r035_c022 (also missed there); rest is meadow with trees
siret3_r035_c020,yes,high,0 0;300 0;560 200;470 340;300 400;115 273;150 210;0 88,146,2.37,young_bare_soil,[siret3_r035_c020#0] 4 vine rows on trellis (wires + posts) in NW corner; overlay 146 deg fits
siret3_r035_c021,yes,high,614 1101;1434 0;2048 0;2048 102;1510 768;1024 1318;768 1306,51,3.05,young_bare_soil,[siret3_r035_c021#0] central strip: 5 rows of young vines with stakes on tilled soil
siret3_r035_c021,yes,medium,1434 1638;2048 870;2048 1330;1690 1792;1485 1792,50,,young_bare_soil,"[siret3_r035_c021#1] SE strip: young vines + stakes on tilled soil, same direction as central strip"
siret3_r035_c026,yes,medium,0 960;110 920;800 1580;1150 2048;0 2048,56,,young_bare_soil,[siret3_r035_c026#x] [todo complete_partial_block] bottom-left block with A-frame end posts; AGCC parcel axis 56
siret3_r036_c022,yes,high,384 256;614 0;1050 0;998 154;742 499;640 512;384 282,53,2.6,young_bare_soil,[siret3_r036_c022#0] N: 4-5 short rows of young vines + stakes (end of r035_c021/r035_c022 strip)
siret3_r036_c023,yes,high,1100 2048;1480 1260;1830 800;2048 520;2048 2048,58,2.7,young_bare_soil,[siret3_r036_c023#0] SE half: tilled vineyard with stakes + young vines (continues into r036_c024/r037_c023/r037_c024); NW is meadow with shrubs
siret3_r036_c024,yes,medium,0 640;250 330;1030 380;1050 760;560 2048;0 2048,58,,young_bare_soil,[siret3_r036_c024#x] [todo complete_partial_block] left half of the young-vine block (posts + young vines on tilled soil); AGCC strip axis 58/4.0
siret3_r037_c022,yes,high,40 760;404 1050;876 1482;1380 2048;1011 2048;647 1562;256 1104;40 800,141,2.3,young_bare_soil,[siret3_r037_c022#0] 2-3 vine rows with shoots + posts on bare strip along nodata edge; overlay 141 deg fits
siret3_r037_c026,yes,high,333 602;742 0;1357 0;691 1011;512 845,50,2.2,grassy_rows,"[siret3_r037_c026#0] N: ~8 vine rows with stakes and grassy inter-rows, cut by mosaic edge"
siret3_r038_c025,yes,medium,0 0;1180 0;940 400;760 840;260 1220;0 1240,55,,mature,[siret3_r038_c025#x] [todo complete_partial_block] dense leafy vine rows NW of the mosaic edge (1 row mapped); AGCC strip axis 55/5.2
